mel6_geneID,COUNT,PERCENT
FBgn0000003,1,0.0013053978
FBgn0000044,1,0.0013053978
FBgn0000115,1,0.0013053978
FBgn0000121,1,0.0013053978
FBgn0000152,1,0.0013053978
FBgn0000158,1,0.0013053978
FBgn0000180,1,0.0013053978
FBgn0000182,1,0.0013053978
FBgn0000233,1,0.0013053978
FBgn0000241,1,0.0013053978
FBgn0000261,1,0.0013053978
FBgn0000277,1,0.0013053978
FBgn0000278,1,0.0013053978
FBgn0000279,1,0.0013053978
FBgn0000280,1,0.0013053978
FBgn0000326,1,0.0013053978
FBgn0000352,1,0.0013053978
FBgn0000355,1,0.0013053978
FBgn0000356,1,0.0013053978
FBgn0000357,1,0.0013053978
FBgn0000358,1,0.0013053978
FBgn0000359,1,0.0013053978
FBgn0000360,1,0.0013053978
FBgn0000406,1,0.0013053978
FBgn0000439,1,0.0013053978
FBgn0000473,1,0.0013053978
FBgn0000477,1,0.0013053978
FBgn0000492,1,0.0013053978
FBgn0000543,1,0.0013053978
FBgn0000559,1,0.0013053978
FBgn0000575,1,0.0013053978
FBgn0000576,1,0.0013053978
FBgn0000577,1,0.0013053978
FBgn0000588,1,0.0013053978
FBgn0000594,1,0.0013053978
FBgn0000617,1,0.0013053978
FBgn0001077,1,0.0013053978
FBgn0001079,1,0.0013053978
FBgn0001086,1,0.0013053978
FBgn0001112,1,0.0013053978
FBgn0001133,1,0.0013053978
FBgn0001148,1,0.0013053978
FBgn0001168,1,0.0013053978
FBgn0001170,1,0.0013053978
FBgn0001202,1,0.0013053978
FBgn0001217,1,0.0013053978
FBgn0001220,1,0.0013053978
FBgn0001233,1,0.0013053978
FBgn0001281,1,0.0013053978
FBgn0001301,1,0.0013053978
FBgn0001965,1,0.0013053978
FBgn0001983,1,0.0013053978
FBgn0001989,1,0.0013053978
FBgn0001995,1,0.0013053978
FBgn0002021,1,0.0013053978
FBgn0002283,1,0.0013053978
FBgn0002284,1,0.0013053978
FBgn0002526,1,0.0013053978
FBgn0002533,1,0.0013053978
FBgn0002562,1,0.0013053978
FBgn0002564,1,0.0013053978
FBgn0002569,1,0.0013053978
FBgn0002570,1,0.0013053978
FBgn0002571,1,0.0013053978
FBgn0002573,1,0.0013053978
FBgn0002578,1,0.0013053978
FBgn0002593,1,0.0013053978
FBgn0002641,1,0.0013053978
FBgn0002736,1,0.0013053978
FBgn0002773,1,0.0013053978
FBgn0002775,1,0.0013053978
FBgn0002842,1,0.0013053978
FBgn0002856,1,0.0013053978
FBgn0002868,1,0.0013053978
FBgn0002869,1,0.0013053978
FBgn0002887,1,0.0013053978
